DARZ_ID;SCHOOL_NAME;TYPE_ID;TYPE_LABEL;LAN_ID;LAN_LABEL;CHILDS_COUNT;FREE_SPACE
31;Aitvaras;3;"Nuo 1,5 iki 3 metø";1;Lietuviø;33;0
31;Aitvaras;6;"Nuo 3 iki 4 metø";1;Lietuviø;30;0
31;Aitvaras;7;"Nuo 4 iki 5 metø";1;Lietuviø;23;0
31;Aitvaras;8;"Nuo 5 iki 6 metø";1;Lietuviø;23;0
31;Aitvaras;11;"Nuo 5 iki 7 metø";1;Lietuviø;46;1
31;Aitvaras;12;"Nuo 2 iki 3 metø";1;Lietuviø;15;0
31;Aitvaras;13;"Nuo 4 iki 6 metø";1;Lietuviø;24;0
31;Aitvaras;14;"Nuo 3 iki 6 metø";1;Lietuviø;2;0
31;Aitvaras;18;"Nuo 2 iki 4 metø";1;Lietuviø;133;0
31;Aitvaras;25;"Nuo 1,5 iki 7 metø";1;Lietuviø;0;0
32;Atþalëlës;3;"Nuo 1,5 iki 3 metø";1;Lietuviø;97;6
32;Atþalëlës;4;"Nuo 3 iki 7 metø";1;Lietuviø;23;0
32;Atþalëlës;6;"Nuo 3 iki 4 metø";1;Lietuviø;46;7
32;Atþalëlës;7;"Nuo 4 iki 5 metø";1;Lietuviø;26;1
32;Atþalëlës;8;"Nuo 5 iki 6 metø";1;Lietuviø;25;0
32;Atþalëlës;9;"Nuo 6 iki 7 metø";1;Lietuviø;3;2
32;Atþalëlës;11;"Nuo 5 iki 7 metø";1;Lietuviø;24;0
32;Atþalëlës;20;"Nuo 2 iki 6 metø";1;Lietuviø;17;2
32;Atþalëlës;28;"Nuo 1 iki 7 metø";1;Lietuviø;0;0
33;Auðrelë;3;"Nuo 1,5 iki 3 metø";1;Lietuviø;82;0
33;Auðrelë;6;"Nuo 3 iki 4 metø";1;Lietuviø;3;1
33;Auðrelë;7;"Nuo 4 iki 5 metø";1;Lietuviø;54;0
33;Auðrelë;8;"Nuo 5 iki 6 metø";1;Lietuviø;22;0
33;Auðrelë;9;"Nuo 6 iki 7 metø";1;Lietuviø;1;0
33;Auðrelë;11;"Nuo 5 iki 7 metø";1;Lietuviø;43;0
33;Auðrelë;12;"Nuo 2 iki 3 metø";1;Lietuviø;4;0
33;Auðrelë;18;"Nuo 2 iki 4 metø";1;Lietuviø;70;0
34;Berþynëlis;1;"Iki 1,5 metø";1;Lietuviø;15;0
34;Berþynëlis;3;"Nuo 1,5 iki 3 metø";1;Lietuviø;36;0
